CCTV央视频道,#genre#
浙江国际FHD,http://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8?k=48877e6c28c2a0215eb8712eb48b888d&t=1577153884

浙江经济台,http://hw-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8

浙江经视FHD,http://yd-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8?k=3bc164885721feecc386b066a39b8567&t=1577153471

浙江钱江台,http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8

浙江绍兴公共台,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8

浙江绍兴影视台,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8

浙江绍兴综合台,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8

浙江新闻台,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8

浙江休闲台,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8

浙江影视台,http://hw-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8

浙江影视娱乐FHD,http://yd-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8?k=79b277c166767a9e072b9629b446d4e9&t=1577153637

浙江舟山生活台,http://live.wifizs.cn/ggsh/sd/live.m3u8

浙江舟山综合台,http://live.wifizs.cn/xwzh/sd/live.m3u8

杭州影视FHD,http://hms24nc1972679559.live.aikan.miguvideo.com/wh7f454c46tw4264175370_127639391/PLTV/88888888/224/3221229377/index.m3u8?icpid=88888888&RTS=1598530962&from=2&hms_devid=24&online=1598530962

直播中国,http://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8

中国交通FHD,http://tv.lanjingfm.com/cctbn/hainan.m3u8

重庆万盛综合台,http://qxlmlive.cbg.cn:1935/app_2/ls_40.stream/playlist.m3u8

重庆万州影视台,http://wanzhoulive.cbg.cn:8017/d4ceB1a/1000/live.m3u8

重庆万州综合台,http://123.146.162.24:8017/iTXwrGs/800/live.m3u8

舟山群岛旅游,http://live.wifizs.cn/qdly/sd/live.m3u8

舟山新闻综合,http://stream.wifizs.cn/xwzh/sd/live.m3u8

周口经济生活,http://tv.zkxww.com:1935/live2/mp4:ch2-500k/playlist.m3u8

周口科教文化,http://tv.zkxww.com:1935/live3/mp4:ch3-500k/playlist.m3u8

周口图文信息,http://tv.zkxww.com:1935/live4/mp4:ch4-500k/playlist.m3u8

吉林7频道,http://stream1.jlntv.cn/fzpd/sd/live.m3u8

吉林都市,http://stream1.jlntv.cn/dspd/sd/live.m3u8?_upt=4f4899d21531575987

吉林公共,http://stream1.jlntv.cn/ggpd/sd/live.m3u8

吉林篮球,http://stream1.jlntv.cn/lqpd/playlist.m3u8?_upt=3053ae9f1582302081

吉林生活,http://stream1.jlntv.cn/shpd/sd/live.m3u8?_upt=212b47d81531576020

吉林乡村,http://stream1.jlntv.cn/xcpd/sd/live.m3u8

吉林影视,http://stream1.jlntv.cn/yspd/sd/live.m3u8

江苏淮安公共,http://stream.habctv.com/hagg/sd/live.m3u8

江苏淮安影视,http://stream.habctv.com/ysyl/sd/live.m3u8

江苏淮安综合,http://stream.habctv.com/xwzh/sd/live.m3u8

江苏连云港公共,http://live.lyg1.com/ggpd/sd/live.m3u8

江苏连云港综合,http://live.lyg1.com/zhpd/sd/live.m3u8

江苏体育休闲,http://183.207.248.71/gitv/live1/G_JSTY/G_JSTY

江苏吴江综合台,http://30515.hlsplay.aodianyun.com/lms_30515/tv_channel_239.m3u8

江苏徐州公共,http://stream1.huaihai.tv/ggpd/playlist.m3u8

江苏徐州生活,http://stream1.huaihai.tv/jjsh/playlist.m3u8

江苏徐州影视,http://183.207.248.15/PLTV/3/224/3221225949/index.m3u8

江苏徐州综合,http://stream1.huaihai.tv/xwzh/playlist.m3u8

江苏张家港民生,http://3gvod.zjgonline.com.cn:1935/live/shehuishenghuo2/playlist.m3u8

江苏张家港综合,http://3gvod.zjgonline.com.cn:1935/live/xinwenzonghe2/playlist.m3u8

江苏综艺,http://183.207.248.71/gitv/live1/G_JSZY/G_JSZY

晋江电视FHD,http://stream.jinjiang.tv/1/sd/live.m3u8

靖江新闻HD,http://58.222.151.43:1935/live/xwzhpc/playlist.m3u8

辽宁卫视高清,http://183.207.249.9/PLTV/3/224/3221225566/index.m3u8

龙江卫视蓝光,http://39.134.116.30:8080/PLTV/88888910/224/3221225690/index.m3u8

洛阳综合,http://live1.lytv.com.cn:1935/live/LYTV1-1/playlist.m3u8

山西朔州新闻台,http://stream.sxsztv.com/live4/sd/live.m3u8

陕西西安白鸽台,http://stream2.xiancity.cn/xatv2/sd/live.m3u8

陕西西安丝路频道,http://39.134.18.65/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226370/index.m3u8

陕西西安丝路台,http://stream2.xiancity.cn/xatv5/sd/live.m3u8

陕西西安文化影视,http://39.134.18.65/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226369/index.m3u8

陕西西安新闻台,http://stream2.xiancity.cn/xatv1/sd/live.m3u8

陕西西安影视台,http://stream2.xiancity.cn/xatv4/sd/live.m3u8

上海财经,http://183.207.255.188/live/program/live/dfcj/1300000/mnf.m3u8

上海都市,http://183.207.255.188/live/program/live/ylpdhd/4000000/mnf.m3u8

上海法制,http://183.207.255.188/live/program/live/fztd/1300000/mnf.m3u8

